match_api_id,H_odd_min,H_odd_max,H_odd_mean,H_odd_std,D_odd_min,D_odd_max,D_odd_mean,D_odd_std,A_odd_min,A_odd_max,A_odd_mean,A_odd_std
492592,1.35,1.36,1.3533333333333335,1.35,4.0,4.5,4.175,4.0,7.0,9.0,7.708333333333333,7.0
492622,3.75,4.85,4.238333333333333,3.75,3.1,3.4,3.3333333333333326,3.1,1.65,1.85,1.758333333333333,1.65
492623,1.44,1.55,1.4966666666666668,1.44,3.45,4.33,3.7133333333333334,3.45,4.8,7.0,5.991666666666667,4.8
492624,1.55,1.67,1.5983333333333334,1.55,3.4,3.75,3.5583333333333336,3.4,4.5,5.85,5.075,4.5
492628,2.05,2.2,2.141666666666667,2.05,3.1,3.3,3.233333333333333,3.1,2.75,3.2,2.9916666666666667,2.75
492631,2.2,2.5,2.308333333333333,2.2,3.1,3.3,3.2083333333333335,3.1,2.6,2.88,2.763333333333333,2.6
492636,2.2,2.38,2.28,2.2,3.0,3.4,3.1999999999999997,3.0,2.62,2.9,2.7750000000000004,2.62
492638,2.2,2.3,2.2416666666666667,2.2,3.0,3.3,3.141666666666667,3.0,2.6,3.3,2.9333333333333336,2.6
492649,1.3,1.44,1.3533333333333333,1.3,4.0,4.5,4.238333333333332,4.0,6.0,8.25,7.291666666666667,6.0
492651,1.65,1.73,1.6916666666666664,1.65,3.4,3.45,3.408333333333333,3.4,4.0,4.9,4.383333333333334,4.0
492658,2.2,2.3,2.233333333333334,2.2,3.0,3.25,3.1999999999999997,3.0,2.6,3.0,2.8250000000000006,2.6
492662,1.29,1.4,1.33,1.29,3.75,4.75,4.266666666666667,3.75,6.0,9.5,8.0,6.0
492664,4.5,5.35,4.908333333333333,4.5,3.4,3.75,3.525,3.4,1.57,1.67,1.6083333333333334,1.57
492666,4.2,5.25,4.671666666666667,4.2,3.4,3.5,3.433333333333333,3.4,1.6,1.67,1.6383333333333334,1.6
492670,2.1,2.2,2.1833333333333336,2.1,3.1,3.25,3.183333333333333,3.1,2.8,3.3,2.933333333333333,2.8
492674,2.15,2.4,2.2583333333333333,2.15,3.1,3.25,3.1999999999999997,3.1,2.62,3.05,2.8000000000000003,2.62
492677,1.55,1.6,1.5733333333333335,1.55,3.25,3.6,3.4666666666666672,3.25,4.6,6.0,5.2250000000000005,4.6
492683,1.17,1.22,1.1983333333333333,1.17,5.0,6.0,5.3500000000000005,5.0,9.5,12.0,10.916666666666666,9.5
492686,1.28,1.36,1.3016666666666667,1.28,4.2,4.5,4.421666666666667,4.2,7.5,9.0,8.25,7.5
492689,2.0,2.15,2.0916666666666663,2.0,3.1,3.25,3.183333333333333,3.1,3.0,3.25,3.091666666666667,3.0
492692,1.6,1.67,1.64,1.6,3.3,3.5,3.433333333333333,3.3,4.4,5.0,4.633333333333334,4.4
492693,2.2,2.4,2.296666666666667,2.2,3.0,3.3,3.1833333333333336,3.0,2.6,3.0,2.78,2.6
492696,2.6,3.0,2.7633333333333336,2.6,3.0,3.3,3.1666666666666665,3.0,2.25,2.35,2.283333333333333,2.25
492699,2.8,3.25,3.013333333333333,2.8,3.1,3.3,3.233333333333333,3.1,2.0,2.2,2.1083333333333334,2.0
492702,3.0,3.35,3.1333333333333333,3.0,3.1,3.25,3.1999999999999997,3.1,2.0,2.1,2.0666666666666664,2.0
492706,2.15,2.4,2.233333333333333,2.15,3.1,3.3,3.216666666666667,3.1,2.5,3.05,2.8000000000000003,2.5
492709,2.1,2.62,2.3033333333333332,2.1,3.1,3.25,3.1750000000000003,3.1,2.62,3.0,2.7699999999999996,2.62
492713,1.45,1.57,1.5250000000000001,1.45,3.5,4.0,3.608333333333334,3.5,4.8,6.5,5.658333333333334,4.8
492717,1.95,2.1,2.05,1.95,3.1,3.3,3.216666666666667,3.1,2.9,3.6,3.216666666666667,2.9
492720,1.4,1.57,1.4783333333333335,1.4,3.25,4.0,3.65,3.25,5.4,7.15,6.175,5.4
492722,2.6,3.25,2.8083333333333336,2.6,3.1,3.25,3.1916666666666664,3.1,2.2,2.35,2.266666666666667,2.2
492724,2.2,2.5,2.311666666666667,2.2,3.1,3.3,3.2083333333333335,3.1,2.6,2.95,2.7416666666666667,2.6
492728,6.0,8.0,6.691666666666666,6.0,3.6,4.75,3.966666666666667,3.6,1.36,1.44,1.4066666666666665,1.36
492734,2.3,2.8,2.4616666666666664,2.3,3.1,3.25,3.2083333333333335,3.1,2.5,2.65,2.558333333333333,2.5
492735,1.9,2.05,1.9833333333333334,1.9,3.05,3.3,3.1999999999999997,3.05,3.2,3.7,3.391666666666667,3.2
492742,1.5,1.6,1.5733333333333333,1.5,3.4,3.8,3.533333333333333,3.4,4.6,6.0,5.183333333333333,4.6
492745,1.45,1.53,1.4966666666666668,1.45,3.4,4.2,3.6666666666666665,3.4,5.0,7.0,6.0,5.0
492746,2.2,2.4,2.308333333333333,2.2,3.1,3.25,3.216666666666667,3.1,2.5,3.25,2.7583333333333333,2.5
492749,1.6,1.7,1.6466666666666667,1.6,3.25,3.75,3.408333333333333,3.25,4.0,5.5,4.696666666666666,4.0
492753,1.36,1.45,1.4166666666666667,1.36,3.75,4.33,3.8966666666666665,3.75,5.4,8.5,6.8999999999999995,5.4
492757,1.62,1.83,1.7216666666666667,1.62,3.25,3.4,3.316666666666667,3.25,4.0,5.0,4.441666666666666,4.0
492758,2.7,3.0,2.841666666666667,2.7,3.1,3.25,3.2083333333333335,3.1,2.2,2.4,2.25,2.2
492760,2.2,2.4,2.341666666666667,2.2,3.1,3.25,3.1916666666666664,3.1,2.5,3.2,2.733333333333333,2.5
492763,1.57,1.67,1.635,1.57,3.4,3.8,3.4916666666666667,3.4,4.2,6.0,4.71,4.2
492769,2.4,2.6,2.5083333333333333,2.4,3.1,3.3,3.2083333333333335,3.1,2.3,2.65,2.495,2.3
492772,1.8,2.15,1.9916666666666665,1.8,3.1,3.2,3.183333333333333,3.1,3.1,4.0,3.4166666666666665,3.1
492775,1.3,1.37,1.34,1.3,4.0,4.5,4.2250000000000005,4.0,7.0,9.0,7.958333333333333,7.0
492779,2.5,2.9,2.7166666666666663,2.5,3.2,3.3,3.2583333333333333,3.2,2.15,2.3,2.2583333333333333,2.15
492781,1.16,1.2,1.1833333333333333,1.16,5.0,6.5,5.75,5.0,10.0,13.0,11.5,10.0
492782,1.33,1.45,1.3983333333333334,1.33,3.6,4.2,3.9583333333333335,3.6,6.0,8.0,7.0,6.0
492785,1.65,1.7,1.6683333333333332,1.65,3.3,3.5,3.408333333333333,3.3,4.0,4.75,4.488333333333333,4.0
492789,1.45,1.55,1.5050000000000001,1.45,3.5,3.8,3.6333333333333333,3.5,5.0,6.5,5.666666666666667,5.0
492792,2.1,2.2,2.1333333333333333,2.1,3.1,3.3,3.1750000000000003,3.1,2.8,3.5,3.091666666666667,2.8
492798,2.6,2.9,2.75,2.6,3.2,3.25,3.2249999999999996,3.2,2.1,2.4,2.266666666666667,2.1
492801,2.75,3.1,2.8666666666666667,2.75,3.0,3.3,3.1999999999999997,3.0,2.1,2.3,2.2083333333333335,2.1
492804,2.75,3.6,3.225,2.75,3.25,3.35,3.283333333333333,3.25,1.9,2.2,2.0083333333333333,1.9
492805,1.4,1.5,1.4316666666666666,1.4,3.6,4.0,3.8333333333333335,3.6,5.4,7.1,6.416666666666667,5.4
492807,2.4,2.7,2.5583333333333336,2.4,3.1,3.25,3.191666666666667,3.1,2.35,2.5,2.425,2.35
492810,2.5,2.9,2.75,2.5,3.2,3.25,3.2249999999999996,3.2,2.2,2.35,2.2499999999999996,2.2
492814,2.2,2.3,2.2583333333333333,2.2,3.2,3.25,3.2249999999999996,3.2,2.6,2.85,2.7583333333333333,2.6
492817,1.5,1.57,1.5516666666666667,1.5,3.5,3.65,3.5416666666666665,3.5,4.8,5.75,5.216666666666667,4.8
492819,2.5,3.2,2.7416666666666667,2.5,3.2,3.25,3.216666666666667,3.2,2.1,2.4,2.2866666666666666,2.1
492482,1.3,1.35,1.3266666666666669,1.3,4.0,4.5,4.291666666666667,4.0,7.0,8.0,7.833333333333333,7.0
492483,1.5,1.65,1.58,1.5,3.4,3.7,3.525,3.4,4.5,5.5,4.966666666666667,4.5
492484,1.33,1.36,1.345,1.33,4.0,4.25,4.075,4.0,7.0,10.0,7.916666666666667,7.0
492485,2.75,3.6,2.966666666666667,2.75,3.2,3.3,3.25,3.2,1.95,2.2,2.1333333333333333,1.95
492486,1.5,1.7,1.59,1.5,3.3,3.6,3.491666666666667,3.3,4.0,6.5,5.0249999999999995,4.0
492487,1.53,1.7,1.6416666666666666,1.53,3.3,3.6,3.4416666666666664,3.3,4.3,5.5,4.63,4.3
492488,1.91,2.1,2.018333333333333,1.91,3.1,3.4,3.2583333333333333,3.1,3.0,3.4,3.1999999999999997,3.0
492489,2.5,3.0,2.725,2.5,3.2,3.3,3.225,3.2,2.2,2.38,2.2716666666666665,2.2
492490,1.44,1.62,1.5483333333333331,1.44,3.45,3.75,3.5749999999999997,3.45,4.5,6.0,5.166666666666667,4.5
492822,3.8,4.75,4.275,3.8,3.25,3.6,3.358333333333333,3.25,1.66,1.8,1.7149999999999999,1.66
492844,2.2,2.4,2.3083333333333336,2.2,3.1,3.3,3.216666666666667,3.1,2.5,2.8,2.6916666666666664,2.5
492845,2.75,3.25,2.9499999999999997,2.75,3.1,3.3,3.2083333333333335,3.1,2.0,2.25,2.1666666666666665,2.0
492847,2.3,2.6,2.4833333333333334,2.3,3.1,3.25,3.1666666666666665,3.1,2.4,2.6,2.5166666666666666,2.4
492849,1.5,1.62,1.5733333333333333,1.5,3.25,3.6,3.4583333333333335,3.25,4.8,5.5,5.133333333333334,4.8
492851,1.7,1.85,1.7716666666666665,1.7,3.2,3.4,3.275,3.2,3.75,4.33,4.029999999999999,3.75
492853,1.12,1.2,1.1733333333333331,1.12,5.0,6.5,5.683333333333334,5.0,10.0,12.0,11.166666666666666,10.0
492856,1.2,1.3,1.2366666666666666,1.2,4.5,5.6,5.016666666666667,4.5,8.5,10.0,9.75,8.5
492858,1.9,2.0,1.9516666666666669,1.9,3.2,3.3,3.233333333333333,3.2,3.1,3.6,3.3666666666666667,3.1
492989,3.75,4.6,4.226666666666667,3.75,3.3,3.5,3.3666666666666667,3.3,1.65,1.8,1.7149999999999999,1.65
492990,4.33,5.0,4.655,4.33,3.3,3.75,3.4583333333333335,3.3,1.6,1.66,1.6399999999999997,1.6
492991,1.16,1.2,1.1783333333333335,1.16,5.5,5.5,5.5,5.5,11.0,13.0,12.0,11.0
492992,1.57,1.7,1.6500000000000001,1.57,3.3,3.5,3.383333333333333,3.3,4.33,5.0,4.588333333333334,4.33
492993,1.55,1.6,1.5683333333333334,1.55,3.4,3.5,3.483333333333333,3.4,4.8,5.75,5.175,4.8
492994,1.9,2.0,1.9350000000000003,1.9,3.2,3.25,3.2083333333333335,3.2,3.4,3.6,3.483333333333334,3.4
492995,2.1,2.5,2.3,2.1,3.1,3.25,3.1999999999999997,3.1,2.6,3.1,2.7283333333333335,2.6
492996,1.57,1.6,1.585,1.57,3.4,3.5,3.4499999999999997,3.4,4.6,5.5,5.05,4.6
492997,3.0,3.25,3.108333333333333,3.0,3.2,3.3,3.2249999999999996,3.2,2.0,2.15,2.058333333333333,2.0
492998,4.2,4.5,4.315,4.2,3.3,3.5,3.4,3.3,1.65,1.75,1.6849999999999998,1.65
492999,1.75,1.9,1.8166666666666667,1.75,3.25,3.3,3.2750000000000004,3.25,3.75,4.0,3.8249999999999997,3.75
493000,2.0,2.15,2.0833333333333335,2.0,3.2,3.3,3.258333333333333,3.2,2.9,3.2,3.0500000000000003,2.9
493001,2.5,2.8,2.6666666666666665,2.5,3.2,3.3,3.233333333333333,3.2,2.2,2.4,2.3033333333333332,2.2
493002,1.5,1.57,1.5483333333333336,1.5,3.4,3.6,3.5,3.4,4.8,5.75,5.375,4.8
493003,1.62,1.7,1.6716666666666666,1.62,3.25,3.5,3.358333333333334,3.25,4.2,5.0,4.521666666666667,4.2
493004,2.0,2.25,2.125,2.0,3.2,3.3,3.233333333333333,3.2,2.7,3.25,2.9916666666666667,2.7
493005,1.15,1.22,1.19,1.15,5.0,6.0,5.458333333333333,5.0,10.0,12.0,11.25,10.0
493006,2.25,2.4,2.351666666666667,2.25,3.1,3.3,3.216666666666667,3.1,2.5,2.8,2.62,2.5
493007,2.5,2.7,2.6283333333333334,2.5,3.1,3.3,3.1916666666666664,3.1,2.3,2.45,2.363333333333333,2.3
493008,2.1,2.25,2.191666666666667,2.1,3.0,3.2,3.15,3.0,2.8,3.2,2.966666666666667,2.8
493009,2.0,2.2,2.1,2.0,3.2,3.3,3.2416666666666667,3.2,2.88,3.25,3.0383333333333327,2.88
493010,2.75,3.0,2.8083333333333336,2.75,3.1,3.25,3.1999999999999997,3.1,2.2,2.3,2.2333333333333334,2.2
493011,1.9,2.1,2.0016666666666665,1.9,3.2,3.4,3.2583333333333333,3.2,3.0,3.4,3.233333333333334,3.0
493012,1.7,1.83,1.78,1.7,3.2,3.4,3.3000000000000003,3.2,3.6,4.35,3.9583333333333335,3.6
493013,2.25,2.4,2.3083333333333336,2.25,3.1,3.3,3.1999999999999997,3.1,2.5,2.87,2.6983333333333337,2.5
493014,1.4,1.5,1.4399999999999997,1.4,3.6,4.5,3.7999999999999994,3.6,5.8,8.0,6.716666666666666,5.8
493015,1.66,1.75,1.6916666666666664,1.66,3.1,3.4,3.3166666666666664,3.1,4.0,5.0,4.4383333333333335,4.0
493016,4.8,5.75,5.141666666666667,4.8,3.4,3.75,3.533333333333333,3.4,1.55,1.62,1.5733333333333335,1.55
493017,2.62,3.0,2.795,2.62,3.1,3.4,3.2416666666666667,3.1,2.2,2.35,2.2583333333333333,2.2
493018,1.8,2.0,1.8800000000000001,1.8,3.2,3.4,3.28,3.2,3.4,4.05,3.6799999999999997,3.4
493019,1.4,1.5,1.43,1.4,3.55,3.9,3.7166666666666663,3.55,6.0,7.5,6.833333333333333,6.0
493020,2.5,2.8,2.6233333333333335,2.5,3.0,3.25,3.1750000000000003,3.0,2.3,2.5,2.3866666666666667,2.3
493021,1.25,1.36,1.2933333333333332,1.25,4.2,5.0,4.596666666666667,4.2,6.5,9.5,8.166666666666666,6.5
493022,1.6,1.67,1.64,1.6,3.4,3.75,3.4749999999999996,3.4,4.33,5.0,4.585,4.33
493023,1.8,1.9,1.8433333333333335,1.8,3.2,3.4,3.275,3.2,3.5,4.0,3.758333333333333,3.5
493024,1.9,2.05,1.9750000000000003,1.9,3.2,3.25,3.233333333333333,3.2,3.1,3.75,3.3666666666666667,3.1
493025,2.65,3.2,2.9583333333333326,2.65,3.0,3.2,3.15,3.0,2.0,2.37,2.1866666666666665,2.0
493026,5.0,6.5,5.7,5.0,3.5,3.7,3.5833333333333335,3.5,1.5,1.57,1.5250000000000001,1.5
493027,1.3,1.4,1.3533333333333335,1.3,4.0,4.5,4.141666666666667,4.0,7.0,9.0,7.666666666666667,7.0
493028,2.2,2.4,2.2583333333333333,2.2,3.1,3.2,3.15,3.1,2.75,3.1,2.858333333333334,2.75
493029,1.3,1.4,1.3533333333333335,1.3,3.85,4.5,4.116666666666667,3.85,7.0,9.0,7.666666666666667,7.0
493030,1.73,1.85,1.7966666666666669,1.73,3.2,3.4,3.2916666666666674,3.2,3.7,4.2,3.9166666666666665,3.7
493031,1.85,2.1,1.9875,1.85,3.1,3.6,3.2875,3.1,3.0,4.0,3.3499999999999996,3.0
493032,1.25,1.29,1.2733333333333334,1.25,4.33,5.5,4.721666666666667,4.33,8.0,10.0,8.916666666666666,8.0
493033,2.25,2.5,2.3716666666666666,2.25,3.1,3.25,3.1999999999999997,3.1,2.6,2.8,2.6666666666666665,2.6
493034,4.0,4.7,4.346666666666667,4.0,3.2,3.6,3.35,3.2,1.7,1.75,1.72,1.7
493035,1.5,1.57,1.5450000000000002,1.5,3.5,3.7,3.5750000000000006,3.5,4.8,6.0,5.325,4.8
493037,1.83,2.1,1.9316666666666666,1.83,3.1,3.3,3.2249999999999996,3.1,3.2,3.95,3.5750000000000006,3.2
493038,2.4,2.88,2.6300000000000003,2.4,3.2,3.4,3.25,3.2,2.3,2.4,2.3716666666666666,2.3
493039,1.75,1.85,1.788333333333333,1.75,3.2,3.4,3.308333333333333,3.2,3.7,4.35,3.966666666666667,3.7
493040,1.6,1.75,1.6550000000000002,1.6,3.25,3.55,3.433333333333333,3.25,4.2,5.05,4.638333333333333,4.2
493041,2.25,2.7,2.4,2.25,3.0,3.25,3.1666666666666665,3.0,2.5,2.9,2.6783333333333332,2.5
493042,3.6,4.33,3.886,3.6,3.2,3.6,3.34,3.2,1.8,1.85,1.8219999999999998,1.8
493043,3.3,3.75,3.591666666666667,3.3,3.15,3.3,3.266666666666667,3.15,1.8,2.0,1.905,1.8
493044,4.33,4.8,4.58,4.33,3.3,3.6,3.4166666666666665,3.3,1.6,1.7,1.6499999999999997,1.6
493045,1.57,1.7,1.6233333333333333,1.57,3.3,3.6,3.433333333333333,3.3,4.0,5.25,4.8,4.0
493046,2.2,2.5,2.325,2.2,3.2,3.25,3.216666666666667,3.2,2.4,3.0,2.7083333333333335,2.4
493047,1.5,1.6,1.5383333333333333,1.5,3.4,3.75,3.5916666666666663,3.4,5.0,5.8,5.341666666666666,5.0
493048,2.1,2.25,2.191666666666667,2.1,3.15,3.3,3.2249999999999996,3.15,2.75,3.0,2.8833333333333333,2.75
493049,1.57,1.71,1.6300000000000001,1.57,3.4,3.75,3.47,3.4,4.3,5.25,4.79,4.3
493050,1.15,1.25,1.2116666666666667,1.15,5.0,6.0,5.416666666666667,5.0,8.0,12.0,10.041666666666666,8.0
493051,1.4,1.45,1.4233333333333331,1.4,3.6,4.0,3.7583333333333333,3.6,5.4,7.5,6.783333333333334,5.4
493052,3.75,5.0,4.241666666666667,3.75,3.3,3.6,3.4,3.3,1.6,1.8,1.705,1.6
493053,1.67,1.9,1.7439999999999998,1.67,3.2,3.3,3.2700000000000005,3.2,4.2,4.5,4.34,4.2
493054,1.33,1.5,1.4133333333333333,1.33,3.9,4.0,3.966666666666667,3.9,6.0,8.0,6.75,6.0
493055,1.9,2.0,1.92,1.9,3.2,3.4,3.283333333333333,3.2,3.3,3.6,3.4916666666666667,3.3
493056,3.9,4.75,4.283333333333333,3.9,3.3,3.6,3.391666666666667,3.3,1.7,1.75,1.7216666666666667,1.7
493057,2.5,3.1,2.706666666666667,2.5,3.1,3.35,3.233333333333334,3.1,2.3,2.38,2.3216666666666668,2.3
493058,1.75,1.9,1.821666666666667,1.75,3.25,3.5,3.3083333333333336,3.25,3.6,4.2,3.841666666666667,3.6
493059,1.66,1.7,1.6883333333333332,1.66,3.3,3.6,3.35,3.3,4.0,5.25,4.513333333333333,4.0
493060,1.33,1.45,1.375,1.33,3.6,4.33,3.9800000000000004,3.6,6.0,8.0,7.25,6.0
493061,1.65,1.7,1.6766666666666667,1.65,3.3,3.5,3.4,3.3,4.3,5.0,4.626666666666666,4.3
493062,2.75,3.2,2.9083333333333337,2.75,3.1,3.3,3.225,3.1,2.1,2.25,2.1999999999999997,2.1
493063,1.75,1.91,1.8466666666666667,1.75,3.2,3.5,3.3083333333333336,3.2,3.5,4.2,3.7583333333333333,3.5
493064,1.3,1.36,1.3233333333333333,1.3,4.0,4.75,4.271666666666667,4.0,7.0,10.0,8.333333333333334,7.0
493065,1.9,2.0,1.9533333333333334,1.9,3.1,3.35,3.25,3.1,3.2,3.8,3.466666666666667,3.2
493066,2.2,2.4,2.2916666666666665,2.2,3.2,3.3,3.2416666666666667,3.2,2.5,3.2,2.7533333333333334,2.5
493067,1.91,2.1,1.9766666666666666,1.91,3.1,3.4,3.233333333333333,3.1,3.0,3.8,3.4249999999999994,3.0
493068,1.4,1.45,1.415,1.4,3.6,4.5,3.9250000000000003,3.6,6.0,8.0,6.883333333333333,6.0
493069,1.7,1.8,1.7516666666666667,1.7,3.1,3.4,3.3333333333333326,3.1,3.8,4.5,4.116666666666666,3.8
492491,1.2,1.3,1.2516666666666667,1.2,4.2,5.5,4.791666666666667,4.2,8.5,10.0,9.166666666666666,8.5
492492,1.6,1.72,1.665,1.6,3.2,3.4,3.358333333333333,3.2,4.0,5.5,4.616666666666666,4.0
492493,1.57,1.7,1.6533333333333333,1.57,3.2,3.5,3.358333333333333,3.2,4.2,5.0,4.608333333333333,4.2
492494,1.6,1.72,1.6566666666666665,1.6,3.25,3.5,3.391666666666667,3.25,4.0,5.0,4.566666666666666,4.0
492495,2.3,2.5,2.4416666666666664,2.3,3.2,3.3,3.233333333333333,3.2,2.4,2.6,2.5083333333333333,2.4
492496,2.0,2.2,2.1,2.0,3.0,3.4,3.1999999999999997,3.0,2.8,3.3,3.0583333333333336,2.8
492497,4.4,6.0,4.933333333333334,4.4,3.3,3.75,3.533333333333333,3.3,1.45,1.65,1.5883333333333332,1.45
492498,5.0,7.0,5.641666666666667,5.0,3.5,4.0,3.7416666666666667,3.5,1.44,1.57,1.51,1.44
492499,2.15,2.4,2.25,2.15,3.0,3.3,3.183333333333333,3.0,2.6,3.0,2.8000000000000007,2.6
493070,3.75,4.5,4.133333333333334,3.75,3.2,3.5,3.3666666666666667,3.2,1.65,1.8,1.7333333333333334,1.65
493071,4.2,6.0,5.2,4.2,3.3,3.75,3.4916666666666667,3.3,1.53,1.65,1.5833333333333337,1.53
493072,1.16,1.29,1.2033333333333334,1.16,5.25,5.5,5.433333333333334,5.25,9.0,12.0,10.583333333333334,9.0
493073,3.5,4.33,3.9159999999999995,3.5,3.2,3.5,3.3200000000000003,3.2,1.8,1.9,1.8359999999999999,1.8
493074,2.0,2.38,2.2216666666666667,2.0,3.0,3.25,3.1666666666666665,3.0,2.65,3.1,2.933333333333333,2.65
493075,2.3,2.62,2.4499999999999997,2.3,3.1,3.3,3.2000000000000006,3.1,2.5,2.62,2.5933333333333333,2.5
493076,2.2,2.5,2.305,2.2,3.0,3.3,3.2083333333333335,3.0,2.5,2.9,2.7116666666666664,2.5
493077,1.7,1.73,1.708333333333333,1.7,3.2,3.4,3.3333333333333335,3.2,4.0,5.0,4.401666666666667,4.0
493078,2.15,2.38,2.263333333333333,2.15,3.0,3.25,3.1750000000000003,3.0,2.65,3.05,2.845,2.65
493079,2.4,2.8,2.6500000000000004,2.4,3.1,3.25,3.1750000000000003,3.1,2.2,2.75,2.408333333333333,2.2
493081,2.1,2.2,2.141666666666667,2.1,3.2,3.3,3.2249999999999996,3.2,2.75,3.2,3.0,2.75
493082,2.75,3.4,3.0500000000000003,2.75,3.2,3.3,3.233333333333333,3.2,1.91,2.2,2.11,1.91
493083,1.14,1.18,1.16,1.14,5.5,6.0,5.75,5.5,12.0,15.0,12.833333333333334,12.0
493084,1.18,1.22,1.1966666666666665,1.18,5.0,6.0,5.416666666666667,5.0,10.0,13.0,11.166666666666666,10.0
493085,1.7,1.85,1.7916666666666667,1.7,3.2,3.4,3.2916666666666665,3.2,3.5,4.35,3.9249999999999994,3.5
